generation,best_fitness,mean_fitness,worst_fitness,std_fitness,n_hospitals_large,n_hospitals_small
83,0.5935775476023705,0.9187155095204741,1.0,0.1625689809590518,0,12
84,0.5935775476023705,0.6257301717984058,0.6337683278474148,0.01607631209801772,0,12
85,0.5935775476023705,0.5953445170122521,0.5957862593647225,0.0008834847049408179,0,12
86,0.5935775476023705,0.5953445170122521,0.5957862593647225,0.0008834847049408179,0,12
87,0.5935775476023705,0.6257301717984058,0.6337683278474148,0.01607631209801772,0,12
88,0.5935775476023705,0.9187155095204741,1.0,0.1625689809590518,0,12
89,0.5935775476023705,0.9187155095204741,1.0,0.1625689809590518,0,12
90,0.5935775476023705,0.6257301717984058,0.6337683278474148,0.01607631209801772,0,12
91,0.5935775476023705,0.5953445170122521,0.5957862593647225,0.0008834847049408179,0,12
92,0.5935775476023705,0.6257301717984058,0.6337683278474148,0.01607631209801772,0,12
93,0.5935775476023705,0.5953445170122521,0.5957862593647225,0.0008834847049408179,0,12
94,0.5935775476023705,0.9187155095204741,1.0,0.1625689809590518,0,12
95,0.5935775476023705,0.6257301717984058,0.6337683278474148,0.01607631209801772,0,12
96,0.5935775476023705,0.9187155095204741,1.0,0.1625689809590518,0,12
97,0.5935775476023705,0.6257301717984058,0.6337683278474148,0.01607631209801772,0,12
98,0.5935775476023705,0.6235180385383823,0.6310031612723853,0.014970245468005938,0,12
99,0.5935775476023705,0.6257301717984058,0.6337683278474148,0.01607631209801772,0,12
100,0.5935775476023705,0.6257301717984058,0.6337683278474148,0.01607631209801772,0,12
